filename,episode_num,episode_title,writer,air_date,season,episode_num_int,total_lines
001_trans.html,1,Welcome To The Hellmouth -  Buffy Episode 1 Transcript,Joss Whedon,Unknown,1,1,421
002_trans.html,2,The Harvest -  Buffy Episode 2 Transcript,Joss Whedon,Unknown,1,2,391
003_trans.html,3,The Witch -  Buffy Episode 3 Transcript,Dana Reston,Unknown,1,3,332
004_trans.html,4,Teacher's Pet -  Buffy Episode 4 Transcript,David Greenwalt,Unknown,1,4,335
005_trans.html,5,Never Kill A Boy On The First Date -  Buffy Episode 5 Transcript,Rob Des Hotel & Dean Batali,Unknown,1,5,446
006_trans.html,6,The Pack -  Buffy Episode 6 Transcript,Matt Kiene & Joe Reinkmeyer,Unknown,1,6,293
007_trans.html,7,Angel -  Buffy Episode 7 Transcript,David Greenwalt,Unknown,1,7,361
008_trans.html,8,"I, Robot -- You, Jane - Buffy Episode 8 Transcript",Ashley Gable & Thomas A. Swyden,Unknown,1,8,318
009_trans.html,9,The Puppet Show - Buffy Episode 9 Transcript,Dean Batali & Rob Des Hotel,Unknown,1,9,359
010_trans.html,10,Nightmares - Buffy Episode 10 Transcript,Unknown,Unknown,1,10,348
011_trans.html,11,"Out of Mind, Out of Sight - Buffy Episode 11 Transcript",Unknown,Unknown,1,11,373
012_trans.html,12,Prophecy Girl - Buffy Episode 12 Transcript,Joss Whedon,Unknown,1,12,359
013_trans.html,13,When She Was Bad -  Buffy Episode 13 Transcript,Joss Whedon,Unknown,2,13,390
014_trans.html,14,Some Assembly Required -  Buffy Episode 14 Transcript,Ty King,Unknown,2,14,379
015_trans.html,15,School Hard -  Buffy Episode 15 Transcript,David Greenwalt,Unknown,2,15,384
016_trans.html,16,Inca Mummy Girl -  Buffy Episode 16 Transcript,Matt Kiene and Joe Reinkemeyer,Unknown,2,16,428
017_trans.html,17,Reptile Boy -  Buffy Episode 17 Transcript,David Greenwalt,Unknown,2,17,320
018_trans.html,18,Halloween -  Buffy Episode 18 Transcript,Carl Ellsworth,Unknown,2,18,410
019_trans.html,19,Lie To Me -  Buffy Episode 19 Transcript,Joss Whedon,Unknown,2,19,367
020_trans.html,20,The Dark Age -  Buffy Episode 20 Transcript,Dean Batali & Rob Des Hotel,Unknown,2,20,362
021_trans.html,21,"What's My Line, Part 1 -  Buffy Episode 21 Transcript",Howard Gordon & Marti Noxon,Unknown,2,21,321
022_trans.html,22,"What's My Line, Part 2 -  Buffy Episode 22 Transcript",Marti Noxon,Unknown,2,22,445
023_trans.html,23,Ted -  Buffy Episode 23 Transcript,David Greenwalt & Joss Whedon,Unknown,2,23,460
024_trans.html,24,Bad Eggs -  Buffy Episode 24 Transcript,Marti Noxon,Unknown,2,24,352
025_trans.html,25,Surprise -  Buffy Episode 25 Transcript,Marti Noxon,Unknown,2,25,383
026_trans.html,26,Innocence -  Buffy Episode 26 Transcript,Joss Whedon,Unknown,2,26,357
027_trans.html,27,Phases -  Buffy Episode 27 Transcript,Rob Des Hotel & Dean Batali,Unknown,2,27,367
028_trans.html,28,"Bewitched, Bothered and Bewildered -  Buffy Episode 28 Transcript",Marti Noxon,Unknown,2,28,350
029_trans.html,29,Passion - Buffy Episode 29 Transcript,Ty King,Unknown,2,29,265
030_trans.html,30,Killed By Death - Buffy Episode 30 Transcript,Rob Des Hotel & Dean Batali,Unknown,2,30,367
031_trans.html,31,I Only Have Eyes for You - Buffy Episode 31 Transcript,Marti Noxon,Unknown,2,31,278
032_trans.html,32,Go Fish - Buffy Episode 32 Transcript,David Fury & Elin Hampton,Unknown,2,32,248
033_trans.html,33,"Becoming, Part 1 -  Buffy Episode 33 Transcript",Joss Whedon,Unknown,2,33,281
034_trans.html,34,"Becoming, Part 2 -  Buffy Episode 34 Transcript",Joss Whedon,Unknown,2,34,321
035_trans.html,35,Anne - Buffy Episode 35 Transcript,Joss Whedon,Unknown,3,35,234
036_trans.html,36,Dead Man's Party - Buffy Episode 36 Transcript,Marti Noxon,Unknown,3,36,375
037_trans.html,37,"Faith, Hope, & Trick - Buffy Episode 37 Transcript",David Greenwalt,Unknown,3,37,401
038_trans.html,38,Beauty and the Beasts - Buffy Episode 38 Transcript,Marti Noxon,Unknown,3,38,284
039_trans.html,39,Homecoming - Buffy Episode 39 Transcript,David Greenwalt,Unknown,3,39,341
040_trans.html,40,Band Candy - Buffy Episode 40 Transcript,Jane Espenson,Unknown,3,40,449
